English,Marathi,Marathi_extra,Burmese_extra,Vowels,Burmese_extra2,Marathi_extra2
a1,अ1,1,◌,,◌,1
a2,आ2,ा2,ာ,,ာ,ा2
a3,आ3,ा3,ား,,ား,ा3
ine1,आइन1,ाइन1,ိုင့်,,ိုင့်,ाइन1
ine2,आइन2,ाइन2,ိုင်,,ိုင်,ाइन2
ine3,आइन3,ाइन3,ိုင်း,,ိုင်း,ाइन3
ite/ ike,आइक,ाइ,ိုက်,,ိုက်,ाइ
ut1,ॲट,त1,တ်,,တ်,त1
ut2,ॲप,त2,ပ်,,ပ်,त2
ut3,ॲड,त3,ဒ်,,ဒ်,त3
ut4,ॲत,त4,ာတ်,,ာတ်,त4
ut5,ॲम,त5,ာသ်,,ာသ်,त5
i1,इ1,ि1,ိ,ဧ,ိ,ि1
i2,इ2,ि2,ီ,,ီ,ि2
i3,इ3,ि3,ီး,,ီး,ि3
in1,इन11,िन1,င့်,,င့်,िन1
in2,इन121,िन2,င်,,င်,िन2
in3,इन122,िं2,င်္,,င်္,िं2
in4,इन13,िन3,င်း,,င်း,िन3
in21,इन21,िन1,ဥ့်,,ဥ့်,िन1
in22,इन22,िन2,ဉ်,,ဉ်,िन2
in23,इन23,िन3,ဥ်း,,ဥ်း,िन3
it1,ए?1,े?1,ေတ်,,ေတ်,े?1
it2,ए?2,े?2,စ်,,စ်,े?2
u1,उ1,ु1,ု,ဥ,ု,ु1
u2,उ2,ु2,ူ,,ူ,ु2
u3,उ3,ु3,ူး,,ူး,ु3
oon11,उन11,ुन11,ွန့်,,ွန့်,ुन11
oon12,उन12,ुन12,ွန်,,ွန်,ुन12
oon13,उन13,ुन13,ွန်း,,ွန်း,ुन13
oon21,उन21,ुन21,ွမ့်,,ွမ့်,ुन21
oon22,उन22,ुन22,ွမ်,,ွမ်,ुन22
oon23,उन23,ुन23,ွမ်း,,ွမ်း,ुन23
oon31,उन31,ुन31,ွံ့,,ွံ့,ुन31
oon32,उन32,ुन32,ွံ,,ွံ,ुन32
oon33,उन33,ुन33,ွံး,,ွံး,ुन33
oot1,उत1,ुत1,ွတ်,,ွတ်,ुत1
oot2,उत2,ुत2,ွပ်,,ွပ်,ुत2
ay11,ए11,े11,ေ့,,ေ့,े11
ay12,ए12,े12,ည့်,,ည့်,े12
ay2,ए2,े2,ေ,,ေ,े2
ay3,ए3,े3,ေး,,ေး,े3
eare11,ए³¹11,े³¹11,ယ့်,,ယ့်,े³¹11
eare111,ए³¹111,े³¹111,ဲ့,,ဲ့,े³¹111
eare12,ए³¹12,े³¹12,ယ်,,ယ်,े³¹12
eare13,ए³¹13,े³¹13,ဲ,,ဲ,े³¹13
eare21,ए³¹21,े³¹21,ည့်,,ည့်,े³¹21
eare22,ए³¹22,े³¹22,ည်,,ည်,े³¹22
eare23,ए³¹23,े³¹23,ည်း,,ည်း,े³¹23
ain1,एन11,ेन11,ိန့်,,ိန့်,ेन11
ain2,एन12,ेन12,ိန်,,ိန်,ेन12
ain3,एन13,ेन13,ိန်း,,ိန်း,ेन13
aim1,एम1,ेन21,ိမ့်,,ိမ့်,ेन21
aim2,एम2,ेन22,ိမ်,,ိမ်,ेन22
aim3,एम3,ेन23,ိမ်း,,ိမ်း,ेन23
et1,एत,ेत,က်,,က်,ेत
ate1,ऐ1,ै1,ိတ်,,ိတ်,ै1
ate2,ऐ2,ै2,ိပ်,,ိပ်,ै2
o1,ओ1,ो1,ို့,,ို့,ो1
o2,ओ2,ो2,ို,,ို,ो2
oe,ओए,ोए,ိုး,,ိုး,ोए
one11,ओन11,ों11,ုန့်,,ုန့်,ों11
one12,ओन12,ों12,ုန်,,ုန်,ों12
one13,ओन13,ों13,ုန်း,,ုန်း,ों13
one21,ओन21,ों21,ုံ့,,ုံ့,ों21
one22,ओन22,ों22,ုံ,,ုံ,ों22
one23,ओन23,ों23,ုံး,,ုံး,ों23
one31,ओन31,ों31,ုဏ့်,,ုဏ့်,ों31
one32,ओन32,ों32,ုဏ်,,ုဏ်,ों32
one33,ओन33,ों33,ုဏ်း,,ုဏ်း,ों33
oat,ओट,ोट,ုတ်,,ုတ်,ोट
oap,ओप,ोप,ုပ်,,ုပ်,ोप
au1,औ1,ौ1,ော့,,ော့,ौ1
au2,औ2,ौ2,ော်,,ော်,ौ2
au3,औ3,ौ3,ော,,ော,ौ3
oun1,औं1,ौं1,ောင့်,,ောင့်,ौं1
oun2,औं2,ौं2,ောင်,,ောင်,ौं2
oun3,औं3,ौं3,ောင်း,,ောင်း,ौं3
out,औत,ौ?1,ောက်,,ောက်,ौ?1
an1,अं11,ं11,န့်,,န့်,ं11
an2,अं12,ं12,န်,,န်,ं12
an3,अं13,ं13,န်း,,န်း,ं13
am1,अं21,ं21,မ့်,,မ့်,ं21
am2,अं22,ं22,မ်,,မ်,ं22
am3,अं23,ं23,မ်း,,မ်း,ं23
am4,अं31,ं31,ံ့,,ံ့,ं31
am5,अं32,ं32,ံ,,ံ,ं32
am6,अं4,ं4,ဏ်,,ဏ်,ं4
y,्य,्य,ျ,,ျ,्य
y,्य,्य,ြ,,ြ,्य
h,्ह,्ह,ှ,,ှ,्ह
w,्व,्व,ွ,,ွ,्व
w,्व,्व,ွှ,,ွှ,्व
